Time,PosX,PosY,PosZ
1.617,-944.5521252621547,2286.750565991695,1975.0809612865642
1.977,-763.9940993449602,2534.6300683909103,1978.5398969106996
2.03,-742.0,2565.0,1979.0
2.137,-701.273349391391,2621.5434379822004,1979.9649953839498
2.417,-605.6296896222342,2756.8507505582684,1982.6725194756737
2.45,-593.0,2775.0,1983.0
2.617,-517.8019700363596,2884.451466078264,1984.8170732676303
2.63,-510.0,2896.0,1985.0
2.811,-383.0,3086.0,1988.0
2.857,-359.2379558342757,3121.7402883437353,1988.6146034767823
3.13,-283.0,3237.0,1991.0
3.137,-280.5428705614132,3240.684411519978,1991.065943127111
3.41,-153.0,3429.0,1994.0
3.417,-149.51952478893446,3433.985821194466,1994.0728048131427
3.577,-70.84062643703723,3544.0482303052577,1995.6462103896
3.69,-17.0,3618.0,1997.0
3.857,64.62297086846408,3728.1868750307353,1999.7337595997342
3.871,73.0,3739.0,2000.0
4.111,242.0,3947.0,2005.0
4.297,317.2496311206736,4032.5874014446745,2007.9702084783287
4.391,355.0,4071.0,2009.0
4.537,434.37059789100437,4148.096166304919,2009.920968233394
4.731,563.0,4259.0,2011.0
4.897,675.7544182300657,4334.277036614611,2012.8049445112867
4.931,699.0,4348.0,2013.0
5.09,816.0,4407.0,2013.0
5.257,996.6974848387431,4466.146137318312,2014.1059210399133
5.351,1101.0,4492.0,2015.0
5.417,1167.530258815979,4505.013749242337,2015.6143956478566
5.657,1369.9471718153927,4520.262993733804,2017.813813729387
5.771,1464.0,4520.0,2019.0
5.817,1502.953896615639,4519.2392980696695,2019.515770040552
6.097,1735.2264828813059,4507.811001851327,2022.716578675699
6.131,1758.0,4506.0,2023.0
6.297,1846.8026558596905,4496.261795831239,2023.9294621534173
6.51,1969.0,4479.0,2025.0
6.777,2230.507314163572,4448.064344007013,2027.7160536731874
6.81,2259.0,4445.0,2028.0
7.057,2409.472654226384,4432.304735295699,2029.3068175731698
7.231,2551.0,4440.0,2031.0
7.377,2738.5788608257562,4459.61916170329,2033.658391326113
7.451,2829.0,4472.0,2035.0
7.817,3104.3196441756563,4554.589716898421,2039.556638404953
7.851,3130.0,4567.0,2040.0
8.137,3377.2859400670854,4702.199327492818,2044.1953042707469
8.212,3427.0,4732.0,2045.0
8.377,3494.2399453296252,4777.182129681405,2045.982851751764
8.551,3557.0,4830.0,2047.0
8.657,3619.7867693828057,4883.410879867877,2048.209900269592
8.731,3667.0,4925.0,2049.0
9.058,3857.1727722243722,5112.074584555119,2050.0036107727715
9.07,3864.0,5119.0,2050.0
9.25,3965.0,5221.0,2050.0
9.41,4051.0,5305.0,2051.0
9.417,4055.362996543258,5309.165651777701,2051.052050021056
9.617,4203.130167264605,5447.577613872477,2052.553156850161
9.69,4249.0,5490.0,2053.0
9.777,4290.383062213869,5527.95179030978,2053.4189835370125
9.937,4331.757646435379,5564.653240881422,2053.8723050750996
10.091,4375.0,5601.0,2054.0
10.217,4426.454408260065,5643.619371189741,2053.954042614104
10.25,4444.0,5658.0,2054.0
10.471,4587.0,5774.0,2055.0
10.737,4639.8190467779505,5814.822281584048,2055.2370501536975
10.83,4658.0,5825.0,2055.0
11.07,4745.0,5870.0,2054.0
11.137,4769.66119598769,5879.336004303805,2053.907715895262
11.291,4824.0,5893.0,2054.0
11.451,4882.0,5900.0,2054.0
11.457,4884.172458138473,5900.132076483074,2053.9813627089015
11.63,4946.0,5900.0,2053.0
11.897,5035.4820324923285,5885.5642460311965,2052.8452269343406
11.95,5052.0,5881.0,2053.0
12.137,5106.622922254549,5860.609671297276,2053.8548862616813
12.171,5116.0,5856.0,2054.0
12.337,5159.522719191508,5829.409827071555,2054.6190986436873
12.391,5173.0,5820.0,2055.0
12.591,5220.0,5783.0,2057.0
12.737,5250.298607755176,5752.061343317586,2056.9959852498087
12.751,5253.0,5749.0,2057.0
12.991,5295.0,5691.0,2058.0
13.097,5313.092990083651,5655.901818997557,2058.60958655628
13.191,5327.0,5625.0,2059.0
13.257,5334.445089017028,5606.450151741354,2059.100702682853
13.431,5348.0,5565.0,2059.0
13.537,5355.743785219242,5538.922269644311,2059.0705367247238
13.697,5367.2680460401,5492.699908790515,2059.475768572175
13.791,5374.0,5451.0,2060.0
13.897,5381.566390466251,5389.212073510147,2060.8657499299293
14.031,5389.0,5318.0,2062.0
14.097,5390.740664796293,5300.389890846227,2062.3868063698615
14.271,5392.0,5281.0,2063.0
14.377,5393.825248289173,5253.021796498768,2063.262632920708
14.537,5401.033853474065,5186.610305321829,2063.788275353673
14.571,5404.0,5170.0,2064.0
14.811,5434.0,5047.0,2066.0
14.857,5438.441390463295,5031.616491217495,2066.1860555981275
15.097,5455.295085081183,4991.873302055912,2066.021383365338
15.131,5459.0,4985.0,2066.0
15.257,5477.43026667134,4952.206183569074,2066.0134638614113
15.291,5484.0,4942.0,2066.0
15.498,5539.718041026283,4871.080531460309,2065.553337575069
15.65,5575.0,4831.0,2065.0
15.817,5591.306785372387,4814.688230712213,2064.313359949536
15.93,5603.0,4806.0,2064.0
15.977,5610.478837362722,4800.464955613691,2063.9403928105125
16.19,5657.0,4768.0,2064.0
16.217,5662.9501694973105,4764.4748781297785,2064.0050951076923
16.371,5696.0,4748.0,2064.0
16.417,5705.8095064015315,4744.011634794983,2063.999423401203
16.651,5756.0,4731.0,2064.0
16.697,5766.057637612926,4730.269080531332,2063.9922387460037
16.87,5804.0,4733.0,2064.0
17.057,5843.302409246791,4744.991387076405,2064.111769132148
17.09,5850.0,4748.0,2064.0
17.251,5882.0,4766.0,2063.0
17.35,5902.0,4779.0,2063.0
